PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29689267","Neurotransmitters in hermatypic coral, Acropora spp., and its contribution to synchronous spawning during reproductive event","Taira J, Higa I, Tsuchida E, Isomura N, Iguchi A.","Biochem Biophys Res Commun. 2018 Jun 18;501(1):80-84. doi: 10.1016/j.bbrc.2018.04.170. Epub 2018 May 8.","Taira J","Biochem Biophys Res Commun","2018","2018/04/25","","","10.1016/j.bbrc.2018.04.170"
"7526498","Superfluous neurotransmitters?","Bowers CW.","Trends Neurosci. 1994 Aug;17(8):315-20. doi: 10.1016/0166-2236(94)90168-6.","Bowers CW","Trends Neurosci","1994","1994/08/01","","","10.1016/0166-2236(94)90168-6"
"23157624","Neurotransmitters, psychotropic drugs and microglia: clinical implications for psychiatry","Kato TA, Yamauchi Y, Horikawa H, Monji A, Mizoguchi Y, Seki Y, Hayakawa K, Utsumi H, Kanba S.","Curr Med Chem. 2013;20(3):331-44. doi: 10.2174/0929867311320030003.","Kato TA","Curr Med Chem","2013","2012/11/20","","","10.2174/0929867311320030003"
"31070376","Synthetic Photoswitchable Neurotransmitters Based on Bridged Azobenzenes","Cabré G, Garrido-Charles A, González-Lafont À, Moormann W, Langbehn D, Egea D, Lluch JM, Herges R, Alibés R, Busqué F, Gorostiza P, Hernando J.","Org Lett. 2019 May 17;21(10):3780-3784. doi: 10.1021/acs.orglett.9b01222. Epub 2019 May 9.","Cabré G","Org Lett","2019","2019/05/10","","","10.1021/acs.orglett.9b01222"
"2901778","Neurotransmitters as morphogens","Lauder JM.","Prog Brain Res. 1988;73:365-87. doi: 10.1016/S0079-6123(08)60516-6.","Lauder JM","Prog Brain Res","1988","1988/01/01","","","10.1016/S0079-6123(08)60516-6"
"31872601","[Simultaneous rapid detection of eight neurotransmitters in rat tissues,blood and urine samples by UPLC-MS/MS]","Bi XN, Qi J, Huang YF, Wei GJ, Zhang T, Wang HY, Wang SQ, Li ZH, Zheng W, Wang Q, Zhang YJ.","Zhongguo Zhong Yao Za Zhi. 2019 Nov;44(22):4918-4923. doi: 10.19540/j.cnki.cjcmm.20190428.502.","Bi XN","Zhongguo Zhong Yao Za Zhi","2019","2019/12/25","","","10.19540/j.cnki.cjcmm.20190428.502"
"29030665","Development and validation of a simple, rapid and sensitive LC-MS/MS method for the measurement of urinary neurotransmitters and their metabolites","Yan J, Kuzhiumparambil U, Bandodkar S, Solowij N, Fu S.","Anal Bioanal Chem. 2017 Dec;409(30):7191-7199. doi: 10.1007/s00216-017-0681-3. Epub 2017 Oct 13.","Yan J","Anal Bioanal Chem","2017","2017/10/15","","","10.1007/s00216-017-0681-3"
"2573362","Neurotransmitters in the brain","Gottfries CG.","Arzneimittelforschung. 1989 Aug;39(8A):1025-9; discussion 1029-30. doi: 10.1007/978-3-642-74615-4_20.","Gottfries CG","Arzneimittelforschung","1989","1989/08/01","","","10.1007/978-3-642-74615-4_20"
"26589213","New Trends and Perspectives in the Evolution of Neurotransmitters in Microbial, Plant, and Animal Cells","Roshchina VV.","Adv Exp Med Biol. 2016;874:25-77. doi: 10.1007/978-3-319-20215-0_2.","Roshchina VV","Adv Exp Med Biol","2016","2015/11/22","","","10.1007/978-3-319-20215-0_2"
"22476701","Neurotransmitters and integration in neuronal-astroglial networks","Verkhratsky A, Rodríguez JJ, Parpura V.","Neurochem Res. 2012 Nov;37(11):2326-38. doi: 10.1007/s11064-012-0765-6. Epub 2012 Apr 3.","Verkhratsky A","Neurochem Res","2012","2012/04/06","","","10.1007/s11064-012-0765-6"
"22991780","[Major neurotransmitters involved in the regulation of sleep-wake cycle]","Franco-Pérez J, Ballesteros-Zebadúa P, Custodio V, Paz C.","Rev Invest Clin. 2012 Mar-Apr;64(2):182-91.","Franco-Pérez J","Rev Invest Clin","2012","2012/09/21","","",""
"31603659","Synaptic Copper, Amyloid-β, and Neurotransmitters in Alzheimer's Disease","Nam E, Nam G, Lim MH.","Biochemistry. 2020 Jan 14;59(1):15-17. doi: 10.1021/acs.biochem.9b00775. Epub 2019 Oct 11.","Nam E","Biochemistry","2020","2019/10/12","","","10.1021/acs.biochem.9b00775"
"23602125","The neurotransmitters of sleep and wake, a physiological reviews series","Monti JM.","Sleep Med Rev. 2013 Aug;17(4):313-5. doi: 10.1016/j.smrv.2013.02.004. Epub 2013 Apr 17.","Monti JM","Sleep Med Rev","2013","2013/04/23","","","10.1016/j.smrv.2013.02.004"
"2898278","Neurotransmitters in the regulation of neuronal cytoarchitecture","Mattson MP.","Brain Res. 1988 Apr-Jun;472(2):179-212. doi: 10.1016/0165-0173(88)90020-3.","Mattson MP","Brain Res","1988","1988/04/01","","","10.1016/0165-0173(88)90020-3"
"24736802","Chemical sensing of neurotransmitters","Pradhan T, Jung HS, Jang JH, Kim TW, Kang C, Kim JS.","Chem Soc Rev. 2014 Jul 7;43(13):4684-713. doi: 10.1039/c3cs60477b. Epub 2014 Apr 16.","Pradhan T","Chem Soc Rev","2014","2014/04/17","","","10.1039/c3cs60477b"
"21549512","Neurotransmitters in disorders of consciousness and brain damage","Clauss RP.","Med Hypotheses. 2011 Aug;77(2):209-13. doi: 10.1016/j.mehy.2011.04.014. Epub 2011 May 5.","Clauss RP","Med Hypotheses","2011","2011/05/10","","","10.1016/j.mehy.2011.04.014"
"30799021","Chemoconnectomics: Mapping Chemical Transmission in Drosophila","Deng B, Li Q, Liu X, Cao Y, Li B, Qian Y, Xu R, Mao R, Zhou E, Zhang W, Huang J, Rao Y.","Neuron. 2019 Mar 6;101(5):876-893.e4. doi: 10.1016/j.neuron.2019.01.045. Epub 2019 Feb 21.","Deng B","Neuron","2019","2019/02/26","","","10.1016/j.neuron.2019.01.045"
"1363617","Neurotransmitters and the pharmacology of the suprachiasmatic nuclei","Rietveld WJ.","Pharmacol Ther. 1992;56(1):119-30. doi: 10.1016/0163-7258(92)90040-7.","Rietveld WJ","Pharmacol Ther","1992","1992/01/01","","","10.1016/0163-7258(92)90040-7"
"45451","Neurotransmitters","Soriano V.","Int J Neurol. 1979;13(1-4):9-23.","Soriano V","Int J Neurol","1979","1979/01/01","","",""
"17689291","The emergence of neurotransmitters as immune modulators","Franco R, Pacheco R, Lluis C, Ahern GP, O'Connell PJ.","Trends Immunol. 2007 Sep;28(9):400-7. doi: 10.1016/j.it.2007.07.005. Epub 2007 Aug 6.","Franco R","Trends Immunol","2007","2007/08/11","","","10.1016/j.it.2007.07.005"
"7688165","Neurotransmitters as growth regulatory signals: role of receptors and second messengers","Lauder JM.","Trends Neurosci. 1993 Jun;16(6):233-40. doi: 10.1016/0166-2236(93)90162-f.","Lauder JM","Trends Neurosci","1993","1993/06/01","","","10.1016/0166-2236(93)90162-f"
"28486925","The Mutual Interaction Between Sleep and Epilepsy on the Neurobiological Basis and Therapy","Wang YQ, Zhang MQ, Li R, Qu WM, Huang ZL.","Curr Neuropharmacol. 2018;16(1):5-16. doi: 10.2174/1570159X15666170509101237.","Wang YQ","Curr Neuropharmacol","2018","2017/05/11","PMC5771383","","10.2174/1570159X15666170509101237"
"24890218","Nitrophenyl-based caged neurotransmitters","Ellis-Davies GC.","Cold Spring Harb Protoc. 2014 Jun 2;2014(6):584-90. doi: 10.1101/pdb.top081794.","Ellis-Davies GC","Cold Spring Harb Protoc","2014","2014/06/04","","","10.1101/pdb.top081794"
"10967338","Neurotransmitters in central respiratory control","Burton MD, Kazemi H.","Respir Physiol. 2000 Sep;122(2-3):111-21. doi: 10.1016/s0034-5687(00)00153-5.","Burton MD","Respir Physiol","2000","2000/09/01","","","10.1016/s0034-5687(00)00153-5"
"4151521","Neurotransmitters","Axelrod J.","Sci Am. 1974 Jun;230(6):59-71.","Axelrod J","Sci Am","1974","1974/06/01","","",""
"8968422","Immunoregulatory role of neurotransmitters","Qiu Y, Peng Y, Wang J.","Adv Neuroimmunol. 1996;6(3):223-31. doi: 10.1016/s0960-5428(96)00018-6.","Qiu Y","Adv Neuroimmunol","1996","1996/01/01","","","10.1016/s0960-5428(96)00018-6"
"1673358","Neurotransmitters and diseases of the brain","Perry EK.","Br J Hosp Med. 1991 Feb;45(2):73-83.","Perry EK","Br J Hosp Med","1991","1991/02/01","","",""
"30721026","Visualization and Identification of Neurotransmitters in Crustacean Brain via Multifaceted Mass Spectrometric Approaches","Cao Q, Wang Y, Chen B, Ma F, Hao L, Li G, Ouyang C, Li L.","ACS Chem Neurosci. 2019 Mar 20;10(3):1222-1229. doi: 10.1021/acschemneuro.8b00730. Epub 2019 Feb 13.","Cao Q","ACS Chem Neurosci","2019","2019/02/06","PMC6436947","NIHMS1015084","10.1021/acschemneuro.8b00730"
"2891578","Neurotransmitters: past, present, and future directions","Bloom FE.","FASEB J. 1988 Jan;2(1):32-41. doi: 10.1096/fasebj.2.1.2891578.","Bloom FE","FASEB J","1988","1988/01/01","","","10.1096/fasebj.2.1.2891578"
"16615882","Turning off neurotransmitters","Snyder SH.","Cell. 2006 Apr 7;125(1):13-5. doi: 10.1016/j.cell.2006.03.023.","Snyder SH","Cell","2006","2006/04/18","","","10.1016/j.cell.2006.03.023"
"1970231","Neurotransmitters in the mammalian circadian system","Rusak B, Bina KG.","Annu Rev Neurosci. 1990;13:387-401. doi: 10.1146/annurev.ne.13.030190.002131.","Rusak B","Annu Rev Neurosci","1990","1990/01/01","","","10.1146/annurev.ne.13.030190.002131"
"24568355","Challenges and recent advances in mass spectrometric imaging of neurotransmitters","Gemperline E, Chen B, Li L.","Bioanalysis. 2014 Feb;6(4):525-40. doi: 10.4155/bio.13.341.","Gemperline E","Bioanalysis","2014","2014/02/27","PMC4159677","NIHMS605923","10.4155/bio.13.341"
"8105154","Quantitative microdialysis of neurotransmitters","Justice JB Jr.","J Neurosci Methods. 1993 Jul;48(3):263-76. doi: 10.1016/0165-0270(93)90097-b.","Justice JB Jr","J Neurosci Methods","1993","1993/07/01","","","10.1016/0165-0270(93)90097-b"
"29802857","The use of microwave irradiation for quantitative analysis of neurotransmitters in the mouse brain","Wasek B, Arning E, Bottiglieri T.","J Neurosci Methods. 2018 Sep 1;307:188-193. doi: 10.1016/j.jneumeth.2018.05.016. Epub 2018 May 23.","Wasek B","J Neurosci Methods","2018","2018/05/27","","","10.1016/j.jneumeth.2018.05.016"
"19479906","Fibromyalgia--pathways and neurotransmitters","Stahl SM.","Hum Psychopharmacol. 2009 Jun;24 Suppl 1:S11-7. doi: 10.1002/hup.1029.","Stahl SM","Hum Psychopharmacol","2009","2009/05/30","","","10.1002/hup.1029"
"15723634","Neurotransmitters and chemokines regulate tumor cell migration: potential for a new pharmacological approach to inhibit invasion and metastasis development","Entschladen F, Drell TL 4th, Lang K, Joseph J, Zaenker KS.","Curr Pharm Des. 2005;11(3):403-11. doi: 10.2174/1381612053382197.","Entschladen F","Curr Pharm Des","2005","2005/02/23","","","10.2174/1381612053382197"
"24295621","Genetic susceptibility and neurotransmitters in Tourette syndrome","Paschou P, Fernandez TV, Sharp F, Heiman GA, Hoekstra PJ.","Int Rev Neurobiol. 2013;112:155-77. doi: 10.1016/B978-0-12-411546-0.00006-8.","Paschou P","Int Rev Neurobiol","2013","2013/12/04","PMC4471172","NIHMS698434","10.1016/B978-0-12-411546-0.00006-8"
"6138446","[Evolution and the origin of neurotransmitters]","Kuriyama H, Ueno H.","Nihon Rinsho. 1983 May;41(5):1092-106.","Kuriyama H","Nihon Rinsho","1983","1983/05/01","","",""
"19358875","Parasynaptic signalling by fast neurotransmitters: the cerebellar cortex","Szapiro G, Barbour B.","Neuroscience. 2009 Sep 1;162(3):644-55. doi: 10.1016/j.neuroscience.2009.03.077. Epub 2009 Apr 7.","Szapiro G","Neuroscience","2009","2009/04/11","","","10.1016/j.neuroscience.2009.03.077"
"9415898","Neurotransmitters regulating defensive rage behavior in the cat","Siegel A, Schubert KL, Shaikh MB.","Neurosci Biobehav Rev. 1997 Nov;21(6):733-42. doi: 10.1016/s0149-7634(96)00056-5.","Siegel A","Neurosci Biobehav Rev","1997","1998/01/07","","","10.1016/s0149-7634(96)00056-5"
"30707593","Electrochemistry at the Synapse","Shin M, Wang Y, Borgus JR, Venton BJ.","Annu Rev Anal Chem (Palo Alto Calif). 2019 Jun 12;12(1):297-321. doi: 10.1146/annurev-anchem-061318-115434. Epub 2019 Feb 1.","Shin M","Annu Rev Anal Chem (Palo Alto Calif)","2019","2019/02/02","PMC6989097","NIHMS1067678","10.1146/annurev-anchem-061318-115434"
"27026604","Identification of catecholamine neurotransmitters using fluorescence sensor array","Ghasemi F, Hormozi-Nezhad MR, Mahmoudi M.","Anal Chim Acta. 2016 Apr 21;917:85-92. doi: 10.1016/j.aca.2016.02.037. Epub 2016 Mar 5.","Ghasemi F","Anal Chim Acta","2016","2016/03/31","","","10.1016/j.aca.2016.02.037"
"24846914","[Alcohol dependence mediated by monoamine neurotransmitters in the central nervous system]","Yang X, Zhang H, Lai J.","Yi Chuan. 2014 Jan;36(1):11-20. doi: 10.3724/sp.j.1005.2014.00011.","Yang X","Yi Chuan","2014","2014/05/22","","","10.3724/sp.j.1005.2014.00011"
"2906034","Neurotransmitters and intraocular pressure","Lapalus P, Elena PP.","Fundam Clin Pharmacol. 1988;2(4):305-25. doi: 10.1111/j.1472-8206.1988.tb00643.x.","Lapalus P","Fundam Clin Pharmacol","1988","1988/01/01","","","10.1111/j.1472-8206.1988.tb00643.x"
"23164153","Release of neurotransmitters from glia","Fields RD.","Neuron Glia Biol. 2010 Aug;6(3):137-9. doi: 10.1017/S1740925X11000020.","Fields RD","Neuron Glia Biol","2010","2012/11/21","","","10.1017/S1740925X11000020"
"6152912","Function of neurotransmitters in the retina","Daw NW, Ariel M, Caldwell JH.","Retina. 1982;2(4):322-31.","Daw NW","Retina","1982","1982/01/01","","",""
"19133404","Consequences of alcohol consumption on neurotransmitters -an overview","Mukherjee S, Das SK, Vaidyanathan K, Vasudevan DM.","Curr Neurovasc Res. 2008 Nov;5(4):266-72. doi: 10.2174/156720208786413415.","Mukherjee S","Curr Neurovasc Res","2008","2009/01/13","","","10.2174/156720208786413415"
"1385055","Peptidergic neurotransmitters in the endocrine hypothalamus","Palkovits M.","Ciba Found Symp. 1992;168:3-10; discussion 10-5. doi: 10.1002/9780470514283.ch2.","Palkovits M","Ciba Found Symp","1992","1992/01/01","","","10.1002/9780470514283.ch2"
"2565727","[Neurotransmitters and neurologic disorders]","Kanazawa I.","No To Hattatsu. 1989 Mar;21(2):97-103.","Kanazawa I","No To Hattatsu","1989","1989/03/01","","",""
"7908138","Neurotransmitters of the suprachiasmatic nucleus: role in the regulation of circadian rhythms","Reghunandanan V, Reghunandanan R, Singh PI.","Prog Neurobiol. 1993 Dec;41(6):647-55. doi: 10.1016/0301-0082(93)90029-r.","Reghunandanan V","Prog Neurobiol","1993","1993/12/01","","","10.1016/0301-0082(93)90029-r"
"12450657","Amino acid neurotransmitters: separation approaches and diagnostic value","Shah AJ, Crespi F, Heidbreder C.","J Chromatogr B Analyt Technol Biomed Life Sci. 2002 Dec 5;781(1-2):151-63. doi: 10.1016/s1570-0232(02)00621-9.","Shah AJ","J Chromatogr B Analyt Technol Biomed Life Sci","2002","2002/11/27","","","10.1016/s1570-0232(02)00621-9"
"27187932","Sensitive determination of neurotransmitters in urine by microchip electrophoresis with multiple-concentration approaches combining field-amplified and reversed-field stacking","Zhang Y, Zhang Y, Wang G, Chen W, Li Y, Zhang Y, He P, Wang Q.","J Chromatogr B Analyt Technol Biomed Life Sci. 2016 Jul 1;1025:33-9. doi: 10.1016/j.jchromb.2016.04.054. Epub 2016 May 2.","Zhang Y","J Chromatogr B Analyt Technol Biomed Life Sci","2016","2016/05/18","","","10.1016/j.jchromb.2016.04.054"
"2566178","Novel peripheral neurotransmitters in invertebrates","Cottrell GA, Bewick GS.","Pharmacol Ther. 1989;41(3):411-42. doi: 10.1016/0163-7258(89)90124-1.","Cottrell GA","Pharmacol Ther","1989","1989/01/01","","","10.1016/0163-7258(89)90124-1"
"2898248","Putative neurotransmitters in the red nucleus and their involvement in postlesion adaptive mechanisms","Nieoullon A, Vuillon-Cacciuttolo G, Dusticier N, Kerkérian L, André D, Bosler O.","Behav Brain Res. 1988 Apr-May;28(1-2):163-74. doi: 10.1016/0166-4328(88)90093-9.","Nieoullon A","Behav Brain Res","1988","1988/04/01","","","10.1016/0166-4328(88)90093-9"
"8984507","Insect neurotransmission: neurotransmitters and their receptors","Osborne RH.","Pharmacol Ther. 1996;69(2):117-42. doi: 10.1016/0163-7258(95)02054-3.","Osborne RH","Pharmacol Ther","1996","1996/01/01","","","10.1016/0163-7258(95)02054-3"
"19800472","Review of recent advances in analytical techniques for the determination of neurotransmitters","Perry M, Li Q, Kennedy RT.","Anal Chim Acta. 2009 Oct 19;653(1):1-22. doi: 10.1016/j.aca.2009.08.038. Epub 2009 Sep 1.","Perry M","Anal Chim Acta","2009","2009/10/06","PMC2759352","NIHMS146741","10.1016/j.aca.2009.08.038"
"12784732","[Pharmacological analysis of neurotransmitters contributing to lower urinary tract function]","Yoshida M, Inadome A, Murakami S.","Nihon Yakurigaku Zasshi. 2003 May;121(5):307-16. doi: 10.1254/fpj.121.307.","Yoshida M","Nihon Yakurigaku Zasshi","2003","2003/06/06","","","10.1254/fpj.121.307"
"29351866","Bioanalysis of a panel of neurotransmitters and their metabolites in plasma samples obtained from pediatric patients with neuroblastoma and Wilms' tumor","Konieczna L, Roszkowska A, Stachowicz-Stencel T, Synakiewicz A, Bączek T.","J Chromatogr B Analyt Technol Biomed Life Sci. 2018 Feb 1;1074-1075:99-110. doi: 10.1016/j.jchromb.2017.12.031. Epub 2017 Dec 28.","Konieczna L","J Chromatogr B Analyt Technol Biomed Life Sci","2018","2018/01/21","","","10.1016/j.jchromb.2017.12.031"
"2573080","Novel peripheral neurotransmitters and control of the airways","Karlsson JA, Persson CG.","Pharmacol Ther. 1989;43(3):397-423. doi: 10.1016/0163-7258(89)90018-1.","Karlsson JA","Pharmacol Ther","1989","1989/01/01","","","10.1016/0163-7258(89)90018-1"
"10865121","The loading of neurotransmitters into synaptic vesicles","Gasnier B.","Biochimie. 2000 Apr;82(4):327-37. doi: 10.1016/s0300-9084(00)00221-2.","Gasnier B","Biochimie","2000","2000/06/24","","","10.1016/s0300-9084(00)00221-2"
"1673904","Neurotransmitters and neuromodulators controlling the anterior byssus retractor muscle of Mytilus edulis","Muneoka Y, Fujisawa Y, Matsuura M, Ikeda T.","Comp Biochem Physiol C Comp Pharmacol Toxicol. 1991;98(1):105-14.","Muneoka Y","Comp Biochem Physiol C Comp Pharmacol Toxicol","1991","1991/01/01","","",""
"7497298","[Neurotransmitters and cerebral development: physiologic and physiopathologic aspects]","Legido A.","Rev Neurol. 1995;23 Suppl 3:S269-77.","Legido A","Rev Neurol","1995","1995/01/01","","",""
"30848885","Solid Phase Microextraction-Based Miniaturized Probe and Protocol for Extraction of Neurotransmitters from Brains in Vivo","Lendor S, Hassani SA, Boyaci E, Singh V, Womelsdorf T, Pawliszyn J.","Anal Chem. 2019 Apr 2;91(7):4896-4905. doi: 10.1021/acs.analchem.9b00995. Epub 2019 Mar 18.","Lendor S","Anal Chem","2019","2019/03/09","","","10.1021/acs.analchem.9b00995"
"8956008","From oocyte to neuron: do neurotransmitters function in the same way throughout development?","Buznikov GA, Shmukler YB, Lauder JM.","Cell Mol Neurobiol. 1996 Oct;16(5):537-59. doi: 10.1007/BF02152056.","Buznikov GA","Cell Mol Neurobiol","1996","1996/10/01","","","10.1007/BF02152056"
"23942033","The evolution of ACh and GABA as neurotransmitters: a hypothesis","Harris KD, Zahavi A.","Med Hypotheses. 2013 Nov;81(5):760-2. doi: 10.1016/j.mehy.2013.07.045. Epub 2013 Aug 12.","Harris KD","Med Hypotheses","2013","2013/08/15","","","10.1016/j.mehy.2013.07.045"
"1983340","In-vivo brain dialysis of neurotransmitters","Di Chiara G.","Trends Pharmacol Sci. 1990 Mar;11(3):116-21. doi: 10.1016/0165-6147(90)90197-g.","Di Chiara G","Trends Pharmacol Sci","1990","1990/03/01","","","10.1016/0165-6147(90)90197-g"
"8754203","Neurotransmitters involved in the central regulation of the cardiovascular system","McCall RB.","Prog Drug Res. 1996;46:43-113. doi: 10.1007/978-3-0348-8996-4_2.","McCall RB","Prog Drug Res","1996","1996/01/01","","","10.1007/978-3-0348-8996-4_2"
"11704420","Functionally gene-linked polymorphic regions and genetically controlled neurotransmitters metabolism","Catalano M.","Eur Neuropsychopharmacol. 2001 Dec;11(6):431-9. doi: 10.1016/s0924-977x(01)00120-1.","Catalano M","Eur Neuropsychopharmacol","2001","2001/11/13","","","10.1016/s0924-977x(01)00120-1"
"19892157","Chapter 54: the discovery of neurotransmitters, and applications to neurology","Sourkes TL.","Handb Clin Neurol. 2010;95:869-83. doi: 10.1016/S0072-9752(08)02154-4.","Sourkes TL","Handb Clin Neurol","2010","2009/11/07","","","10.1016/S0072-9752(08)02154-4"
"2571183","Pituitary gland: neuropeptides, neurotransmitters and growth factors","Koenig JI.","Toxicol Pathol. 1989;17(2):256-65. doi: 10.1177/019262338901700204.","Koenig JI","Toxicol Pathol","1989","1989/01/01","","","10.1177/019262338901700204"
"2892562","Neurotransmitters and psychosis","Owen F, Crow TJ.","Br Med Bull. 1987 Jul;43(3):651-71. doi: 10.1093/oxfordjournals.bmb.a072207.","Owen F","Br Med Bull","1987","1987/07/01","","","10.1093/oxfordjournals.bmb.a072207"
